consent_given,screeningQ1,screeningQ2,age,gender,startingValues,rewardVec,decay_rate,replenishRates,travel_duration,feedback_duration,blk_number,blk_type,meanRewardBlock,currentPatchPosition,patchValueLeft,patchValueTop,patchValueRight,patchReplenishLeft,patchReplenishTop,patchReplenishRight,currentPatchReplenishRate,patchValueSlow,patchValueMedium,patchValueFast,patchReplenishSlow,patchReplenishMedium,patchReplenishFast,decisionType,trialPhase,patch_selection_key,patch_selection_RT,actual_rew_gain,rew_fbk_displayed,blk_points,blk_actions,exploit_phase_key,exploit_phase_RT,num_exploit_actions,meanRewardEntireExperiment,total_points,total_actions,actions_remaining,timeInPatch_seconds_,task_instruc_resp_keys,task_instruc_resp_rt,trials_welcome_thisRepN,trials_welcome_thisTrialN,trials_welcome_thisN,trials_welcome_thisIndex,trials_welcome_ran,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_x,mouse_y,mouse_leftButton,mouse_midButton,mouse_rightButton,mouse_clicked_name,trials_screening_thisRepN,trials_screening_thisTrialN,trials_screening_thisN,trials_screening_thisIndex,trials_screening_ran,demo_resp_keys,demo_resp_rt,trials_demographics_thisRepN,trials_demographics_thisTrialN,trials_demographics_thisN,trials_demographics_thisIndex,trials_demographics_ran,key_resp_keys,key_resp_rt,trials_instructions_thisRepN,trials_instructions_thisTrialN,trials_instructions_thisN,trials_instructions_thisIndex,trials_instructions_ran,rewardVectorToManipulate,blk_instruc_resp_keys,blk_instruc_resp_rt,blk_loop_thisRepN,blk_loop_thisTrialN,blk_loop_thisN,blk_loop_thisIndex,blk_loop_ran,blk_loop_order,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,trials_order,sel_resp_keys,sel_resp_rt,exploit_loop_thisRepN,exploit_loop_thisTrialN,exploit_loop_thisN,exploit_loop_thisIndex,exploit_loop_ran,exploit_loop_order,exploit_resp_keys,exploit_resp_rt,post_blk_resp_keys,post_blk_resp_rt,closing_resp_keys,closing_resp_rt
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,15.573,0,0,0,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,6.057,1,0,1,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,3.744,2,0,2,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,7.802,3,0,3,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,7.206,4,0,4,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,7.363,5,0,5,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,16.46,6,0,6,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,13.591,7,0,7,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,13.262,8,0,8,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,space,4.049,9,0,9,0,1,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"[100,100,100]",NaN,0.05,"[0.05,0.1,0.15]",1,1.5,1,1,0,1,72,74,71,0.05,0.1,0.15,0.05,72,74,71,0.05,0.1,0.15,1,1,f,3.727,0,0,0,1,N/A,0,0,0,0,1,199,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"[72,74,71]",return,13.951,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,0,1,73,76,75,0.05,0.1,0.15,0.05,73,76,75,0.05,0.1,0.15,0,2,0,0,0,0,0,1,N/A,0,0,0,0,1,199,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,f,3.727,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,0,1,73,76,75,0.05,0.1,0.15,0.05,73,76,75,0.05,0.1,0.15,2,3,0,0,73,73,0,1,space,2.276,0,0,0,1,199,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,36,1,73,78,79,0.05,0.1,0.15,0.05,73,78,79,0.05,0.1,0.15,0,4,0,0,73,73,73,2,0,0,0,36,73,2,198,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,2.276,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,0,0,0,0,1,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,36,1,69,78,79,0.05,0.1,0.15,0.05,69,78,79,0.05,0.1,0.15,2,3,0,0,69,69,73,2,space,0.494,0,36,73,2,198,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,47,1,69,81,82,0.05,0.1,0.15,0.05,69,81,82,0.05,0.1,0.15,0,4,0,0,69,69,143,3,0,0,0,47,143,3,197,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,0.494,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,1,0,1,0,1,NaN,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,47,1,62,81,82,0.05,0.1,0.15,0.05,62,81,82,0.05,0.1,0.15,2,3,0,0,62,62,143,3,space,0.331,0,47,143,3,197,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,,NaN,,NaN,,NaN
NaN,NaN,NaN,NaN,NaN,"",NaN,NaN,"",NaN,NaN,1,1,51,1,62,82,84,0.05,0.1,0.15,0.05,62,82,84,0.05,0.1,0.15,0,4,0,0,62,62,206,4,0,0,0,51,206,4,196,0,,NaN,NaN,NaN,NaN,NaN,NaN,29,1,2020-12-08_11h05.26.721,Pirates_expt3,2020.1.2,Win32,60,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,"",,NaN,4,0,4,0,1,3,200,0,200,0,1,199,,NaN,200,0,200,0,1,199,space,0.331,,NaN,,NaN
